id,versek
1,honán kül fiú honában patak magas hegyek vándorlanak ifju csüggedt lépésivel sziklákon patak gyorsan sikamlik ifju ajkain néma csend honol illanó vizár vig hangokat danol hegysor elmarad ifju patak sík róna térein vándorlanak ifju patak gyorsan szerepet róna térein cseréltetek hallgatnak habok ballagva lejtenek gyors szökés ifju dalt zeneg elnémult patak honát vesztette dalra kelt fiú honára lel 
12,szinésszé lettem megkapám szerepet színpadon először nevetnem kelletett szerepben jóizűn szivemből neveték pályámon leend sírni 
13,nyelvek fülek csend figyelem szóm fontos beszédre emelem halljátok ajkim zengenek ég hallja hosszan nyúljon hurkaszál életünk rokkáján fonál sültre szánk mosolyogjon sors szája ránk pályánk áldásával öntse kását zsír özöne életünk halál romboló torát ülni száll gömböc magas ég gömböcben töltelék 
15,hegedűszó furulyaszó cimbalom búbánat terhe nyom akinél igazítsa bút nehogy neki mutassuk út búbánat gonosz vendég rosz madár kebelbe életet vért lopni búbánat szívet rágó ürgefi borral borral kiönteni bor éleszt bor éget csók csókot lyányka hosszut édest lángolót csókod lángja napfény mennyei élőfán lombot neveli lombon fakad lombon fejlik virág lomb ne'kül virág ne'kül ér ág pusztán szárazon törzsök hamar éri sodró vész halál hah halál kérdésjel melyre felele idő bölcseség áldasz versz sír után élet bor leány törődöm tünődöm élek ölelem élvet ad ad élvet bor leány éljen lyány éljen bor húzd cigány 
18,1 áldás reátok ligetemben odább iramló csermelyek utaitokon tavasznak himes virági termenek arc patak foly folytok szerencsétlen könyek halvány pályátok körében virágok ah zsengenek 2 forró sugárokat lövel nyári nap sugári lánghevén patak folyó apad o forró nyári nap o lángoló sugár könyűmnek árjait apasztanád 3 eljött ősz part virága hervadva hull csermelyár habjába eljött bú élet kéje kihalva fúl könyek özönébe 4 o télnek dermesztő hidegje folyókat lebilincseléd o télnek dermesztő hidegje bilincseld szememnek csepkönyét 5 fuss patakcsa fuss csüggedetlen megnyúgoszol tengerekben hullasz könyüm hullj o halálban számodra megnyúgovás 
24,porszem szélvész fuvatán röpül legény gyors paripán 'honnan atyafi hevenyén pusztáról csikóval jövök nyerítő ménes legel pej csikómat loptam túri vásár szegénylegény lovon 'ej földi adja kend paripám enyim ménes legel csikót kend tőlem lopta szavára hajt betyár őkegyelme tovajár gazdának vígaszul hátrafordulván válaszol se vegye kárát gazduram lova szivet bírt kebel kend lyánya lopta 
54,bölcsőben sír éber csecsemő bölcső dajka zeng szokják dalok altatni szenvedésem síró gyermeke fájdalom dalt dalra költök dalaimmal elaltatom 
58,honvédő legénység harcra készülőben ifju sereg halovány szinében kendnek inába szállt bátorsága kérdi tiszt gúnyolón képe sárga 'tiszt uram felelt ifju 'már gondom mérthogy sárga képem mondom kipiroslik egyébtől kardomról rája feccsent ellenség vérétől 
64,örültök kies tavasznak eljő élvet ad réteken méhek táboroznak megostromolni virágokat elszántan ütközetre mégyen szűz bimbók mézéhes ellene csicserg szomszéd lombozat hüsében madárajakról lelkes harczene elzárkoztában kihalt kebelnek virág dal méh érdekel ohajtásim mivégre kelnek menjen tél menjen gyorsan tavaszt annyiból kivánom melegebbek lesznek napok mostan hűlt rideg tanyámon kopott ruhámban fázni fogok 
90,beszélgetnek sajkámmal fecsegő habok feszítem lapátot izzadok anyám mostan látnál mondanád istenért feldőlsz féled halált apám mostan látnál mondanád ördög hurcol szaggatni ruhád 
99,folyt mezőn patakvíznek gyöngye szeretőm arcán búbánat könnye folyjon patak habjai mentében piros rózsa fejlik zöld mezőségen könnyed folyjon lelkem kisleánya elhervad könnytől orcáid rózsája 
145,jut eszedbe fiú kivel cepelted vándorbotot koldusbotnak beillenék sorsnak fényes kedve éppen ritkaság szinészre nézve boldogtalan magyar hazánkban hű honfigond lásd reátok emlékezem elfeledni fogom jót roszat közöttetek mult napjaimnak osztályrésze délután színészetbe béavattatám barangolék céltalan hazának tájain tarisznyámban hátamon vivék mondhatom teher nyomor ólom megnyomott könnyíte víg könnyelmüség útaimban hű társam vala juték nyári délután városba fáradt lábaim fogadóban megpihentenek vendégszobája oldalán helyet szerényen színpad foglala való fényüzés tünődtem épen kérjek ebédet se sovány zsebem bicskája szépen benntörik ajtót megnyitá ur emberismeret ráfoghatnom szinész fején kalapja nagybecsű vala elizéus prófétával rokonságban tudnillik kopasz kabátja új nadrág régi rongy lábát csizma helytt cipő födé alkalmasint amelyben szerepelt thalia papja kérdém jövőben fölség mondhatom vágtam szavába ő rohant vezette gyorsan igazgatót fehér köpenyben igazgató jött üdvezelni nyájasan isten hozá önt tisztelt honfitárs szerencsénk önhöz édes ur imádja müvészetet ah jóbarátom isteni önnek szeméből olvasom szinészetünknek hőse kürtölendik bámult nevét hazának ajkai ebédelt ételek drágák roszak ispán urtól őzcombot kapánk káposztából maradék meghivásom méltóztatik elútasítni ebédje ostromolt igazgató forgatva nyelve könnyü kerekét rosz kedvvel engedék neki menék ebédre ebéd után beiktatának ünnepélyesen társaságba kutatva valék deák csizmadia fölléptem peleskei notáriusban hősleg működém három szerepben minthogy összesen társaságnak tagja ideig elvalék velök faluzgatánk balszerencse barátság megszakadt utáltam nyegléskedést t görögtüzet tudj' manó csábitásokat társaság szétoszolt érő bel külviszály jártam széles hazát mignem keblébe vett társaság tapasztalám tapasztalásom olyatén kedvre hozta lelkemet kenyért keresni színészek leszünk művészet szent szerelmiből haladni ösztönünk pártolj közönség haladunk mond szinész felel haladjatok pártolunk kettő elmarad hiszem szinészetet becsülni fogják befogad bitangot gaz sehonnait világnak söpredékei keresnek menhelyet barátom fájt énnekem neked keseríte minket annyira isten adja előbb akképpen álljon szinmüvészetünk állnia 
171,öregúrnak élete szánandó gyötrelem veséig gyötri szegényt féltékeny szerelem unokaöccse gonosz ifju neje unokaöccse ver szöget megőszült fejibe nőtlen terhére esett hivatal nyugodtan híven végezé belehal nőtlen barátinál elkártyázgatott mostan éjszakázni fél keserves állapot nőtlen álom folyának éjei öregúr szemét behúnyni meri szegény öreg féltés bánt öcséd nődet szereti szobalyányt 
196,ébren látogatsz álmaimban meghalt életem mondanivalóm hisz egymással ekkorig keveset beszéltünk gyorsan illanó tekintet beszédünk tudod hozzátok menék futottál szobából titkosan pillantottál öröm látnom nyílt ajtó megnyilt mennyet távozám ablakból tekintettél utánam vélted észre veszem temetésed gödör sírod szivemnek pokla lelkemet mennykő csapása érte hullott alá föld koporsód födelére szent angyalom eljősz mindenkor tárva karom jősz átkaroljon érintsen lehellete közelgő szellemednek mennybe sírba mindenhová követlek 
204,régi kedvem pajkos vad fiú fölválta lyánytestvéred szótlan méla bú játékszered szívem hordozád nyilként rohanva vitted világon megbotlottál sírhalom estedben játékszer szivem kettétörött 
233,gyors madár gyors szélvész gyors villám alföldi betyár gyorsabb őkelme csikót szerez kecskeméten szentmártonnál aznap réven holnap csikót eladja fehérváron eladja újat lop vásáron holnapután becskereken lovagol karcsu fakón deresen 
244,szabadba látni tavaszt meglátni természet szinpadát operákban gyönyörködik hallhat kinn kedves operát természetnek pompás szinpadán primadonna fülmile énekesnők köztetek merész versenyre kelni ővele megannyi páholy bokor amelyben űlnek ifju ibolyák figyelmes hölgyek hallgatván primadonna csattogó dalát hallgat figyel legforróbb érzelem kősziklák vén kritikusok maradnak kopáran hidegen 
246,bővösbájos hang völgyben csendült ünnep est harangja buzgó falut imádkozásra szentegyházba vonja lelkem álmaiban cseng édesbús emléke lyánykának ifju sírjára könnyeim folyának 
250,paripámnak ő színe fakó szőre vert arany ragyogó paripámnak ő neve csillag gyors lába hullócsillag lovam lovam fakó lábadról patkó vigyelek lovam kovácshoz vígy rózsámhoz tüzes kovácsnak szene tüzesebb rózsámnak szeme lágy vas kovács szenétől lágyabb szivem rózsám szemétől 
254,ifju szivecskéd legelőször játsza szerelemnek játékait gyönyör játék láthatása boldogit lelkesült néző sziv mozdulásra é rózsabokrot virító rózsabokrot ráz szél égő szív rózsának bokra lengő fuvalmak érzeményei hull bokorról halvány arcokra piros levél szél lengeti orcádat égni látom lyányka szíved érzeményitül derűl kissé sötét világom szerelemnek napja elkerül költőkebelnek szolgál szerencse tudod szerelmem bús történetét életemnek királyi kincse koldús eltemeték szempilláidnak fekete virágán részvét könnyharmatja reszketett előtted szívemet kitárám elbeszélém történetet leányka leányka édestestvéreműl fogadtalak kössük drága szövetséget csókkal vilmám áldalak voltál mondád megcsókolni költőt szabad állításod lyányka teljesítsd tedd ajkaimra testvércsókodat 
287,alacsony ház lakásom tiéd magas palota énnekem leányka emelkedhetem egyesülhetnénk énhozzám hajlanál völgybe tér hegy patakja égről nap földre száll nap földre száll égről völgybe hegyről patak palotádból lelkem galambja szállj birhassalak hiszem boldogabb lennél nálam mintsem odafenn magasban hűvös levegő tavasz legszebb völgyeken tavasz vár lejősz leányka szerelemnek ékes tavasza mulandó tavasz viránya május hoza mezőkre jő ősz hervaszt látja virágokat titkos rejtett kert szivem szerelme hervasztó ősz akad é kert lyányka lejősz hajlékomba szűk kicsinke megférünk ketten fészkében páros madár lyányka törődöm azzal otthagyod ékszered rajtad ékszer elhomályosítja szived 
300,elnémult fergeteg süvöltő hárfájának zordon éneke nyúgodt táj arc küzdött halállal kiszenvede szelíd őszi délután látni felleget viharból maradt bús időkből emlékezet faluknak bádogtornyait nap sugári megaranyozák délibábak tengerében hajók lebegnek tanyák áttekintek láthatáron rónaság völgy hegytelen szívem végetlen róna szerelem szívem szerelemmel terhétől csaknem elesik fa ága birja dús gyümölcseit szívem megtelve szerelemmel pohár csordultig drága bor lyány porba önti kár idd halál 
316,ismerjetek álarc mostanáig képem meguntam álarcomat ünnepélyesen letépem olvastátok vidám dalaimat gondoljátok lelkembül írom dalaimban kedv nevetés virág síron kivűl síron nyílik virág belűl sírban féreg halott írtam enyelgő dalokat lelkem haldokolt fájdalomban komédiás víg pofákat vág közönségnek odabenn színfalak arcán kínszenvedés könyűi égnek határozat muljék gyorsan amily gyorsan támadt szenvedjen szivem víg dalok szűnjenek általok kissé vidítom szomorú hazámat 
319,mondják hidegnyugalmasan öregek szilaj bolond fiú csendesb legyek vénség életnek viszhangja tompa hangok bántanak szilaj igaz bolond észt tanácsra hivom szivet no fejemnek hasznát veszem reá bokrétás kalpagom teszem szív rosz tanácsadó higyétek észnél messzebb lát sejtelmivel ifju szíve lánglobogva ég világít sötét ég szolgál szív vezér szövétnekül balsors telében életünk gyakorta hűl ész megfagyhatnánk szivünkben fölmelegít láng higyétek csendes öregek megárt túllobogja fiatal tüz határt szoktak gyujtani mezőt égés által gyümölcsözőbb 
326,üdvezellek ifjú pályatárs pályatársam szeretett barátom terólad jósolék jóslatom teljesedni látom felleget megmondtam ebből fergeteg kicsiny felhőcske valál villámterhesen közelgesz ontsd lelked villámait lángjaikkal gyujtsd világot rendűljön föld amidőn mennydörgő jelszódat elkiáltod villámlasz mennydörögsz jőnek ellened zudúló hangok égiháború szokták verni harangot dúl vihar félrevert harang dacára barátom se hajts jajveszéklő emberek szavára kellett tenni ostromolt pályámon tehetetlen hangokat figyelemre méltatám sajnálom eh megtörtént sajnálkozom szorítsam jobbod ifju bajnok rokonszellemű pályatárs után rég sohajtok fölléptél megujit sorompók ketten állunk barátom küzdjünk győzedelmünk vitéz halálunk 
